batter,player_name,total_pa,uab,cab,uab_rate,cab_rate,PCA+
663656,kyle tucker,328,63,265,19.21,80.79,169.6
650333,luis arráez,676,130,546,19.23,80.77,169.3
592450,aaron judge,687,133,554,19.36,80.64,167.9
665742,juan soto,710,138,572,19.44,80.56,167.1
656811,ryan o'hearn,488,96,392,19.67,80.33,164.6
665489,vladimir guerrero,672,134,538,19.94,80.06,161.9
686469,vinnie pasquantino,571,117,454,20.49,79.51,156.4
680977,brendan donovan,634,131,503,20.66,79.34,154.8
677951,bobby witt,721,149,572,20.67,79.33,154.8
595777,jurickson profar,671,139,532,20.72,79.28,154.3
605141,mookie betts,504,105,399,20.83,79.17,153.2
670541,yordan álvarez,612,129,483,21.08,78.92,150.9
680757,steven kwan,540,114,426,21.11,78.89,150.7
701538,jackson merrill,597,127,470,21.27,78.73,149.2
596103,austin slater,211,45,166,21.33,78.67,148.7
596019,francisco lindor,710,154,556,21.69,78.31,145.6
573262,mike yastrzemski,470,102,368,21.7,78.3,145.5
608070,josé ramírez,666,145,521,21.77,78.23,144.9
592885,christian yelich,300,66,234,22.0,78.0,142.9
694192,jackson chourio,568,126,442,22.18,77.82,141.4
641432,willie calhoun,254,57,197,22.44,77.56,139.3
664774,lamonte wade,382,86,296,22.51,77.49,138.8
661388,william contreras,673,153,520,22.73,77.27,137.0
663457,lars nootbaar,404,92,312,22.77,77.23,136.7
608324,alex bregman,628,143,485,22.77,77.23,136.7
543685,anthony rendon,228,52,176,22.81,77.19,136.5
607043,brandon nimmo,684,157,527,22.95,77.05,135.3
670623,isaac paredes,626,144,482,23.0,77.0,134.9
606466,ketel marte,559,129,430,23.08,76.92,134.4
672515,gabriel moreno,337,78,259,23.15,76.85,133.9
676059,jordan westburg,445,104,341,23.37,76.63,132.2
695578,james wood,338,79,259,23.37,76.63,132.2
670770,tj friedl,342,80,262,23.39,76.61,132.0
571970,max muncy,282,66,216,23.4,76.6,131.9
671056,iván herrera,256,60,196,23.44,76.56,131.7
664761,alec bohm,607,143,464,23.56,76.44,130.8
683002,gunnar henderson,714,169,545,23.67,76.33,130.0
665487,fernando tatís,439,104,335,23.69,76.31,129.9
660271,shohei ohtani,711,169,542,23.77,76.23,129.3
621043,carlos correa,353,84,269,23.8,76.2,129.1
668804,bryan reynolds,667,160,507,23.99,76.01,127.7
