batter,player_name,total_pa,uab,cab,uab_rate,cab_rate,PCA+
669257,will smith,418,80,338,19.14,80.86,160.2
606466,ketel marte,519,100,419,19.27,80.73,158.9
608070,josé ramírez,625,121,504,19.36,80.64,158.0
665489,vladimir guerrero,635,123,512,19.37,80.63,157.9
650333,luis arráez,647,126,521,19.47,80.53,156.8
605141,mookie betts,637,127,510,19.94,80.06,152.3
672580,maikel garcía,636,127,509,19.97,80.03,152.0
668939,adley rutschman,335,67,268,20.0,80.0,151.7
671289,tyler freeman,426,86,340,20.19,79.81,149.9
608701,rob refsnyder,202,41,161,20.3,79.7,148.9
665487,fernando tatís,656,135,521,20.58,79.42,146.3
677951,bobby witt,641,132,509,20.59,79.41,146.2
650490,yandy díaz,621,128,493,20.61,79.39,146.1
700250,ben rice,512,107,405,20.9,79.1,143.5
665742,juan soto,670,141,529,21.04,78.96,142.3
686948,drake baldwin,420,89,331,21.19,78.81,141.0
608324,alex bregman,462,98,364,21.21,78.79,140.9
663538,nico hoerner,614,131,483,21.34,78.66,139.8
650402,gleyber torres,607,131,476,21.58,78.42,137.8
657077,alex verdugo,213,46,167,21.6,78.4,137.7
676475,alec burleson,528,115,413,21.78,78.22,136.2
680474,max schuemann,202,44,158,21.78,78.22,136.2
595777,jurickson profar,344,75,269,21.8,78.2,136.0
672386,alejandro kirk,477,104,373,21.8,78.2,136.0
573262,mike yastrzemski,526,115,411,21.86,78.14,135.5
641343,jake bauers,205,45,160,21.95,78.05,134.8
656305,matt chapman,507,112,395,22.09,77.91,133.7
543760,marcus semien,515,114,401,22.14,77.86,133.4
686469,vinnie pasquantino,646,143,503,22.14,77.86,133.4
596019,francisco lindor,699,155,544,22.17,77.83,133.1
670623,isaac paredes,414,92,322,22.22,77.78,132.7
592450,aaron judge,620,139,481,22.42,77.58,131.2
663757,trent grisham,560,126,434,22.5,77.5,130.6
680977,brendan donovan,497,112,385,22.54,77.46,130.4
593871,jorge polanco,501,113,388,22.55,77.45,130.2
671056,iván herrera,430,97,333,22.56,77.44,130.2
605137,josh bell,509,115,394,22.59,77.41,129.9
668930,brice turang,628,142,486,22.61,77.39,129.8
607043,brandon nimmo,618,140,478,22.65,77.35,129.5
593428,xander bogaerts,531,121,410,22.79,77.21,128.5
624413,pete alonso,672,154,518,22.92,77.08,127.6
547180,bryce harper,541,124,417,22.92,77.08,127.5
683734,andrew vaughn,421,97,324,23.04,76.96,126.7
680757,steven kwan,660,152,508,23.03,76.97,126.7
805367,chase meidroth,486,112,374,23.05,76.95,126.6
502671,paul goldschmidt,507,117,390,23.08,76.92,126.4
669743,alex call,320,74,246,23.12,76.88,126.1
592626,joc pederson,281,65,216,23.13,76.87,126.0
663457,lars nootbaar,553,129,424,23.33,76.67,124.6
686527,dominic canzone,257,60,197,23.35,76.65,124.5
681082,bryson stott,534,125,409,23.41,76.59,124.1
701350,roman anthony,303,71,232,23.43,76.57,123.9
666182,bo bichette,606,142,464,23.43,76.57,123.9
676391,ernie clement,563,132,431,23.45,76.55,123.8
607208,trea turner,633,149,484,23.54,76.46,123.2
661388,william contreras,637,150,487,23.55,76.45,123.1
666018,jonathan aranda,395,93,302,23.54,76.46,123.1
621043,carlos correa,567,134,433,23.63,76.37,122.5
808982,jung hoo lee,590,140,450,23.73,76.27,121.9
656555,rhys hoskins,316,75,241,23.73,76.27,121.9
686797,brooks lee,513,122,391,23.78,76.22,121.5
695734,daylen lile,340,81,259,23.82,76.18,121.3
660271,shohei ohtani,671,160,511,23.85,76.15,121.1
592518,manny machado,649,155,494,23.88,76.12,120.9
668227,randy arozarena,673,161,512,23.92,76.08,120.6
672515,gabriel moreno,284,68,216,23.94,76.06,120.5
681715,heriberto hernandez,284,68,216,23.94,76.06,120.5
694671,wyatt langford,551,132,419,23.96,76.04,120.4
641355,cody bellinger,626,150,476,23.96,76.04,120.3
694384,nolan schanuel,538,129,409,23.98,76.02,120.2
663656,kyle tucker,545,131,414,24.04,75.96,119.8
664702,myles straw,290,70,220,24.14,75.86,119.2
672695,geraldo perdomo,688,166,522,24.13,75.87,119.2
