player_name,total_pa,uab,cab,uab_rate,cab_rate,CAB+
luis arráez,479,83,396,17.33,82.67,199.0
mookie betts,563,98,465,17.41,82.59,197.9
juan soto,636,112,524,17.61,82.39,195.1
dj lemahieu,678,126,552,18.58,81.42,182.7
yuli gurriel,617,120,497,19.45,80.55,172.8
josé ramírez,626,125,501,19.97,80.03,167.2
josh donaldson,541,109,432,20.15,79.85,165.3
yasmani grandal,390,79,311,20.26,79.74,164.2
tommy la stella,245,50,195,20.41,79.59,162.7
alex bregman,409,85,324,20.78,79.22,159.0
evan longoria,296,62,234,20.95,79.05,157.4
vladimir guerrero,692,145,547,20.95,79.05,157.4
anthony rendon,249,53,196,21.29,78.71,154.3
nick madrigal,215,46,169,21.4,78.6,153.2
justin turner,626,134,492,21.41,78.59,153.1
jesse winker,485,105,380,21.65,78.35,151.0
michael brantley,523,114,409,21.8,78.2,149.6
anthony rizzo,581,127,454,21.86,78.14,149.1
manny machado,631,139,492,22.03,77.97,147.6
ronald acuña,358,79,279,22.07,77.93,147.3
matt olson,666,147,519,22.07,77.93,147.3
tony kemp,398,88,310,22.11,77.89,146.9
darin ruf,315,70,245,22.22,77.78,146.0
freddie freeman,690,154,536,22.32,77.68,145.2
corey seager,421,94,327,22.33,77.67,145.1
andy ibáñez,272,61,211,22.43,77.57,144.3
alex verdugo,619,139,480,22.46,77.54,144.0
trea turner,659,148,511,22.46,77.54,144.0
tommy pham,560,126,434,22.5,77.5,143.7
josh bell,570,129,441,22.63,77.37,142.6
paul goldschmidt,682,158,524,23.17,76.83,138.3
bo bichette,690,161,529,23.33,76.67,137.1
bryan reynolds,638,149,489,23.35,76.65,136.9
max muncy,589,138,451,23.43,76.57,136.3
bryce harper,587,138,449,23.51,76.49,135.7
rafael devers,679,160,519,23.56,76.44,135.3
will smith,513,121,392,23.59,76.41,135.1
lamonte wade,385,91,294,23.64,76.36,134.8
aj pollock,430,102,328,23.72,76.28,134.1
francisco lindor,522,124,398,23.75,76.25,133.9
lorenzo cain,293,70,223,23.89,76.11,132.9
joey votto,527,126,401,23.91,76.09,132.7
nolan arenado,651,156,495,23.96,76.04,132.4
ketel marte,371,89,282,23.99,76.01,132.2
buster posey,457,110,347,24.07,75.93,131.6
jeff mcneil,426,103,323,24.18,75.82,130.8
kyle tucker,575,139,436,24.17,75.83,130.8
enrique hernández,607,147,460,24.22,75.78,130.5
aaron judge,635,154,481,24.25,75.75,130.3
wilmer flores,444,108,336,24.32,75.68,129.8
jake cronenworth,640,156,484,24.38,75.62,129.4
marcus semien,726,177,549,24.38,75.62,129.4
danny jansen,205,50,155,24.39,75.61,129.3
albert pujols,295,72,223,24.41,75.59,129.2
nick castellanos,580,142,438,24.48,75.52,128.7
whit merrifield,720,177,543,24.58,75.42,128.0
gavin lux,381,94,287,24.67,75.33,127.4
jorge polanco,644,159,485,24.69,75.31,127.2
josé altuve,692,172,520,24.86,75.14,126.1
óscar mercado,240,60,180,25.0,75.0,125.1
dan vogelbach,260,65,195,25.0,75.0,125.1
robbie grossman,670,168,502,25.07,74.93,124.6
matt duffy,323,81,242,25.08,74.92,124.6
kevin newman,554,139,415,25.09,74.91,124.5
andrew mccutchen,573,144,429,25.13,74.87,124.3
yandy díaz,553,139,414,25.14,74.86,124.2
alec bohm,417,105,312,25.18,74.82,123.9
josh harrison,559,141,418,25.22,74.78,123.7
nelson cruz,593,150,443,25.3,74.7,123.2
brock holt,260,66,194,25.38,74.62,122.6
kolten wong,499,127,372,25.45,74.55,122.2
kyle schwarber,491,125,366,25.46,74.54,122.1
ozzie albies,694,177,517,25.5,74.5,121.8
anthony santander,438,112,326,25.57,74.43,121.4
brian goodwin,273,70,203,25.64,74.36,121.0
jed lowrie,515,132,383,25.63,74.37,121.0
carlos santana,658,169,489,25.68,74.32,120.7
jorge soler,611,157,454,25.7,74.3,120.6
wander franco,323,83,240,25.7,74.3,120.6
xander bogaerts,621,160,461,25.76,74.24,120.2
odúbel herrera,492,127,365,25.81,74.19,119.9
luis torrens,378,98,280,25.93,74.07,119.2
j. d. martinez,640,166,474,25.94,74.06,119.1
